Datetime,Username,Text
2021-11-29 12:20:07+00:00,JBonek1927,"@dsuperboy @samsungID ""Gue pake #GalaxyA22 dgn fitur OIS buat Foto Fabio Quartararo saat melaju dengan motornya di MotoGP Mandalika"" pasti jelas hasilnya pake #GalaxyA22 kamera 48MP dg fitur OIS nya pasti #Awesome"
2021-11-29 12:19:38+00:00,SuaraPemerintah,"BUMD di NTB Buka Jasa Sewa Heli Nonton Balapan di Sirkuit Mandalika

@AriefMunajad @purnama_rijal @bumnbgkhebat @erickthohir 
#Indonesia #BeritaTerkini #BUMN 

https://t.co/wY4Lfu0cNA"
2021-11-29 12:19:27+00:00,JBonek1927,"@dsuperboy @samsungID ""Gue pake #GalaxyA22 dgn fitur OIS buat Foto Fabio Quartararo saat melaju dengan motornya di MotoGP Mandalika"" pasti jelas hasilnya pake #GalaxyA22 kamera 48MP dg fitur OIS nya"
2021-11-29 12:17:28+00:00,MolenDomba,"@JakaPrana12 Mandalika bikin kenyang apanya? 🤭😂🤣💦
Sama2 event balap internasional ini..semua banyak yg dapat untung bosku..kenyang kok pilih kasih 😂🤭"
2021-11-29 12:15:11+00:00,putucangkiriku,"Pk Jokowi gk perku ikut cawe2 FE jg sdh terkenal..ngeresmiin sirkuit Mandalika aja sdh  mendunia, baru 1 event tuh super bike..apa lg klo sdh digelar  moto Gp , trus nyusul F1..kadrun auto kejang2.. FE msh kalah ama moto Gp dri segi penggemar,tim pabrikan bsr d FE udh pd cabut.."
2021-11-29 12:14:11+00:00,LombokPolres,Polres Lombok Tengah Bersama Kodim 1620 Menggelar Patroli Show Of Force Dalam Rangka Cipkon Paska WSBK Mandalika 2021 https://t.co/GMkB8uxaWt
2021-11-29 12:13:36+00:00,Argo00449750,"Tidak mau kalah !!! Stlh sirkuit Mandalika lombok tengah jadi &amp; di coba, serta sukses unt WSB tingkat dunia, *tdk mau kalah* si ontadungu ga' bener  merancang desain sirkuit di tngh kota yg dihuni 58% wrg nya yg jg dungu,  *ini grand design lintasanya* yuks kita liat bersama. https://t.co/KrthApkr0I"
2021-11-29 12:12:53+00:00,KRT_WorldSBK,An incredibly entertaining first race saw @jonathan_rea demonstrate all the pace and fighting qualities that have made him a six times World Champion. His Race One victory in Mandalika came after a performance full of commitment and determination @worldsbk https://t.co/5EEUo3uKlb
2021-11-29 12:12:45+00:00,LombokPolres,Polres Lombok Tengah Bersama Kodim 1620 Menggelar Patroli Show Of Force Dalam Rangka Cipkon Paska WSBK Mandalika 2021 https://t.co/jmNOCfVnqs
2021-11-29 11:59:32+00:00,Restbest2,@detikcom Mestinya ngotot aja Formula E sukses mandalika nggak sukses
